6.5,0.63,-7,2.8394,21.461,2.3992,6.4128,1.1238,6.6561,0
6.5,0.63,-7,2.8394,21.461,2.3993,5.9153,0.4778,5.7202,0
6.5,0.63,-7.4,2.8312,21.462,2.3991,9.1332,2.7169,9.5079,1
6.5,-0.64,7.2,1.8558,21.462,2.3995,5.148,2.5424,5.4401,1
6.5,-0.625,7,1.8668,21.462,2.399,4.2436,3.79,4.2131,0
6.5,0.7375,-7.3,2.9407,21.462,2.3999,5.3869,2.3779,5.6827,1
6.5,0.715,-7,2.9244,21.462,2.3993,4.1048,1.3091,4.2381,0
6.5,0.63,-7,2.8395,21.462,2.3992,5.5152,0,0,0
6.5,0.63,-7,2.8395,21.462,2.399,5.0443,0,0,0
6.5,-0.575,7,1.9167,21.462,2.3995,5.0347,0,0,0
6.5,0.63,-7.4,2.8313,21.463,2.3991,9.3754,2.8622,9.5336,1
6.5,0.63,-7.4,2.8313,21.463,2.3992,8.7435,2.4165,9.0216,1
6.5,-0.725,7.4,1.7749,21.463,2.3996,4.279,2.3401,4.558,1
6.5,-0.6325,7.1,1.8612,21.463,2.3993,4.6713,2.7961,4.984,0
6.5,0.795,-7.4,2.9963,21.463,2.3994,4.069,2.1181,4.4152,1
6.5,0.73,-7.2,2.9355,21.463,2.3994,5.0138,2.0753,5.3944,1
6.5,0.7225,-7.1,2.9301,21.463,2.3992,4.5042,1.408,4.6622,0
6.5,0.69,-7.2,2.8954,21.463,2.3994,5.286,1.1453,5.4158,0
6.5,-0.5975,7.3,1.9003,21.463,2.3988,6.3783,2.5406,6.7102,1
6.5,-0.59,7.2,1.9058,21.463,2.3991,5.8949,3.0915,6.1098,0
6.5,-0.5825,7.1,1.9112,21.463,2.3992,5.4824,3.8493,5.7714,0
6.5,0.83,-7.5,3.0292,21.463,2.3993,3.4855,2.1673,3.5961,1
6.5,-0.78,7.5,1.722,21.463,2.3988,3.3216,2.3071,3.5948,1
6.5,-0.74,7.5,1.762,21.463,2.3992,3.4551,2.5659,3.7951,1
6.5,-0.7475,7.7,1.7586,21.464,2.3993,5.5862,0.9897,5.5333,0
6.5,-0.7325,7.5,1.7694,21.464,2.3994,4.7003,2.1311,4.9575,1
6.5,-0.6475,7.3,1.8502,21.464,2.3991,5.5774,2.393,5.8591,1
6.5,0.81,-7.6,3.0072,21.464,2.3993,4.914,2.4167,5.2095,1
6.5,0.69,-7.2,2.8956,21.464,2.3997,6.6036,2.4061,6.8805,1
6.5,0.69,-7.2,2.8956,21.464,2.3991,6.1434,2.2628,6.43,1
6.5,0.85,-7.5,3.0493,21.464,2.399,3.4899,2.4038,3.7692,1
