2.5,-1.4867,0,0.88833,32.48,0.86393,21.531,0.91233,9.4214
2.5,-1.4867,0.3,0.88833,32.48,0.87423,21.527,0.94233,9.41
2.5,-1.4867,0.6,0.88833,32.48,0.88443,21.525,0.97183,9.4222
2.5,-1.4867,0.9,0.88833,32.48,0.89523,21.526,1.0033,9.3862
2.5,-1.4867,1.2,0.88833,32.48,0.90583,21.521,1.034,9.3735
2.5,-1.4867,1.5,0.88833,32.48,0.91603,21.529,1.0631,9.418
2.5,-1.4867,1.8,0.88833,32.48,0.92603,21.522,1.0916,9.4626
2.5,-1.4867,2.1,0.88833,32.48,0.93653,21.522,1.1222,9.4675
2.5,-1.4867,0,0.88833,32.48,0.91273,21.531,0.86433,9.4214
2.5,-1.4867,-0.3,0.88833,32.48,0.90243,21.527,0.83433,9.41
2.5,-1.4867,-0.6,0.88833,32.48,0.89223,21.525,0.80483,9.4222
2.5,-1.4867,-0.9,0.88833,32.48,0.88143,21.526,0.77333,9.3862
2.5,-1.4867,-1.2,0.88833,32.48,0.87083,21.521,0.74263,9.3735
2.5,-1.4867,-1.5,0.88833,32.48,0.86063,21.529,0.71353,9.418
2.5,-1.4867,-1.8,0.88833,32.48,0.85063,21.522,0.68503,9.4626
2.5,-1.4867,-2.1,0.88833,32.48,0.84013,21.522,0.65443,9.4675
2.5,-1.6353,0,0.73967,32.48,0.71527,21.531,0.76367,9.4214
2.5,-1.6353,0.3,0.73967,32.48,0.72557,21.527,0.79367,9.41
2.5,-1.6353,0.6,0.73967,32.48,0.73577,21.525,0.82317,9.4222
2.5,-1.6353,0.9,0.73967,32.48,0.74657,21.526,0.85467,9.3862
2.5,-1.6353,1.2,0.73967,32.48,0.75717,21.521,0.88537,9.3735
2.5,-1.6353,1.5,0.73967,32.48,0.76737,21.529,0.91447,9.418
2.5,-1.6353,1.8,0.73967,32.48,0.77737,21.522,0.94297,9.4626
2.5,-1.6353,2.1,0.73967,32.48,0.78787,21.522,0.97357,9.4675
2.5,-1.6353,0,0.73967,32.48,0.76407,21.531,0.71567,9.4214
2.5,-1.6353,-0.3,0.73967,32.48,0.75377,21.527,0.68567,9.41
2.5,-1.6353,-0.6,0.73967,32.48,0.74357,21.525,0.65617,9.4222
2.5,-1.6353,-0.9,0.73967,32.48,0.73277,21.526,0.62467,9.3862
2.5,-1.6353,-1.2,0.73967,32.48,0.72217,21.521,0.59397,9.3735
2.5,-1.6353,-1.5,0.73967,32.48,0.71197,21.529,0.56487,9.418
2.5,-1.6353,-1.8,0.73967,32.48,0.70197,21.522,0.53637,9.4626
2.5,-1.6353,-2.1,0.73967,32.48,0.69147,21.522,0.50577,9.4675
2.5,-1.784,0,0.591,32.48,0.5666,21.531,0.615,9.4214
2.5,-1.784,0.3,0.591,32.48,0.5769,21.527,0.645,9.41
2.5,-1.784,0.6,0.591,32.48,0.5871,21.525,0.6745,9.4222
2.5,-1.784,0.9,0.591,32.48,0.5979,21.526,0.706,9.3862
2.5,-1.784,1.2,0.591,32.48,0.6085,21.521,0.7367,9.3735
2.5,-1.784,1.5,0.591,32.48,0.6187,21.529,0.7658,9.418
2.5,-1.784,1.8,0.591,32.48,0.6287,21.522,0.7943,9.4626
